"Ramo","Póliza","Endoso","Fecha emisión","Inicio de Vigencia","Moneda","Total","Tipo Mov."
"04","0003530841","000000","2019-06-10","2019-06-10","00","15163.90","Poliza"
"04","0003530786","000000","2019-06-10","2019-06-10","00","10234.13","Poliza"
"04","0003531218","000000","2019-06-11","2019-06-10","00","14157.80","Poliza"
"04","0003532557","000000","2019-06-13","2019-06-13","00","9092.73","Poliza"
"04","0003533947","000000","2019-06-17","2019-06-14","00","13890.65","Poliza"
"04","0003534762","000000","2019-06-18","2019-06-18","00","15564.29","Poliza"
"04","0003531218","243062","2019-06-30","2019-06-10","00","-14157.80","Anulacion"
"04","0003546984","000000","2019-07-09","2019-07-09","00","16419.81","Poliza"
"04","0003554934","000000","2019-07-25","2019-07-24","00","20644.38","Poliza"
"04","0003531218","139856","2019-07-26","2019-06-10","00","14157.80","Rehabilitacion"
"04","0003555390","214127","2019-07-26","2019-07-24","00","-17111.68","Anulacion"
"04","0003555413","000000","2019-07-26","2019-07-24","00","17853.93","Poliza"
"04","0003554934","214062","2019-07-26","2019-07-24","00","-20644.38","Anulacion"
"04","0003555390","000000","2019-07-26","2019-07-24","00","17111.68","Poliza"
"04","3190191311","000000","2019-08-15","2019-08-15","00","15829.29","Poliza"
"04","3190191309","000000","2019-08-15","2019-08-15","00","14669.75","Poliza"
"04","3190191433","000000","2019-08-16","2019-08-16","00","14669.75","Poliza"
"04","3190191618","000000","2019-08-19","2019-08-19","00","9524.67","Poliza"
"04","3190191582","000000","2019-08-19","2019-08-19","00","5434.08","Poliza"
"04","3190191582","291481","2019-08-20","2019-08-19","00","-5434.08","Anulacion"
"04","3190191683","000000","2019-08-20","2019-09-06","00","5434.08","Poliza"
"04","3190191881","000000","2019-08-21","2019-08-21","00","19549.61","Poliza"
"04","3190192057","000000","2019-08-23","2019-08-23","00","14036.21","Poliza"
"04","3190192051","000000","2019-08-23","2019-08-23","00","10990.79","Poliza"
"04","3190192048","000000","2019-08-23","2019-08-23","00","12292.95","Poliza"
"04","3190193006","000000","2019-09-02","2019-09-02","00","20978.91","Poliza"
"04","0003576586","000000","2019-09-04","2019-09-03","00","15829.29","Poliza"
"04","0003576580","000000","2019-09-04","2019-09-03","00","15829.29","Poliza"
"04","0003577694","000000","2019-09-05","2019-09-05","00","13219.93","Poliza"
"04","0003579090","000000","2019-09-06","2019-09-06","00","50461.08","Poliza"
"04","3190193580","000000","2019-09-06","2019-09-06","00","11424.42","Poliza"
"04","3190193661","000000","2019-09-07","2019-09-07","00","14225.21","Poliza"
"04","3190194133","000000","2019-09-11","2019-09-11","00","7203.18","Poliza"
"04","0003584323","000000","2019-09-18","2019-09-18","00","18767.51","Poliza"
"04","3190193661","276161","2019-09-18","2019-09-07","00","-14225.21","Anulacion"
"04","0003583825","000000","2019-09-18","2019-09-17","00","13466.60","Poliza"
"04","0003584343","000000","2019-09-19","2019-09-18","00","19095.82","Poliza"
"04","3190195330","000000","2019-09-20","2019-09-20","00","29676.41","Poliza"
"04","3190195220","000000","2019-09-20","2019-09-20","00","20290.60","Poliza"
"04","3190195518","000000","2019-09-23","2019-09-23","00","9171.91","Poliza"
"04","3190195512","000000","2019-09-23","2019-09-23","00","13990.66","Poliza"
"04","3190195429","000000","2019-09-23","2019-09-23","00","10431.50","Poliza"
"04","3190195426","000000","2019-09-23","2019-09-23","00","12638.15","Poliza"
"04","3190193006","293864","2019-09-23","2019-09-02","00","-20978.91","Anulacion"
"04","3190195753","000000","2019-09-24","2019-09-24","00","30812.60","Poliza"
"04","3190195633","000000","2019-09-24","2019-09-24","00","6945.98","Poliza"
"04","3190195632","000000","2019-09-24","2019-09-24","00","21775.75","Poliza"
"04","3190195512","317129","2019-09-25","2019-09-25","00","0.00","Sin Prima"
"04","3190196108","000000","2019-09-26","2019-09-26","00","21775.75","Poliza"
"04","0003589554","000000","2019-09-26","2019-09-24","00","17360.58","Poliza"
"04","3190196097","000000","2019-09-26","2019-09-26","00","21404.47","Poliza"
"04","3190196421","000000","2019-09-27","2019-09-27","00","20105.35","Poliza"
"04","3190196319","000000","2019-09-27","2019-09-27","00","12949.29","Poliza"
"04","0003530786","221732","2019-09-30","2019-09-10","00","-7240.62","Anulacion"
"04","0003530841","221730","2019-09-30","2019-09-10","00","-10937.94","Anulacion"
"04","0003533947","221656","2019-09-30","2019-09-14","00","-9983.01","Anulacion"
"04","3190196852","000000","2019-09-30","2019-09-30","00","4382.61","Poliza"
"04","3190195426","222005","2019-09-30","2019-09-27","00","-1428.22","Cancelacion"
"04","3190196989","000000","2019-10-01","2019-10-01","00","21775.75","Poliza"
"04","3190197756","000000","2019-10-03","2019-10-03","00","18813.39","Poliza"
"04","3190198070","000000","2019-10-04","2019-10-04","00","18627.69","Poliza"
"04","3190197934","000000","2019-10-04","2019-10-04","00","51578.69","Poliza"
"04","0003594045","000000","2019-10-04","2019-10-03","00","20290.60","Poliza"
"04","3190198168","000000","2019-10-07","2019-10-07","00","12268.68","Poliza"
"04","3190198421","000000","2019-10-08","2019-10-08","00","14402.99","Poliza"
"04","3190198070","241449","2019-10-08","2019-10-04","00","-18627.69","Anulacion"
"04","0003595432","000000","2019-10-08","2019-10-04","00","17189.34","Poliza"
"04","3190197756","241174","2019-10-08","2019-10-03","00","-18813.39","Anulacion"
"04","3190198378","000000","2019-10-08","2019-10-08","00","5822.78","Poliza"
"04","0003596458","000000","2019-10-09","2019-10-07","00","22569.63","Poliza"
"04","3190198168","244531","2019-10-09","2019-10-07","00","-12268.68","Anulacion"
"04","0003596437","000000","2019-10-09","2019-10-08","00","21404.47","Poliza"
"04","0003596432","000000","2019-10-09","2019-10-08","00","12409.01","Poliza"
"04","0003596602","000000","2019-10-10","2019-10-08","00","17533.25","Poliza"
"04","3190191683","252932","2019-10-12","2019-09-06","00","-5434.08","Anulacion"
"04","3190193580","252904","2019-10-12","2019-09-06","00","-11424.42","Anulacion"
"04","3190194133","252896","2019-10-12","2019-09-11","00","-7203.18","Anulacion"
"04","0003598084","000000","2019-10-14","2019-10-11","00","21698.77","Poliza"
"04","3190199069","000000","2019-10-14","2019-10-14","00","14359.78","Poliza"
"04","3190199276","000000","2019-10-15","2019-10-15","00","14898.04","Poliza"
"04","3190199265","000000","2019-10-15","2019-10-15","00","45307.00","Poliza"
"04","3190199246","000000","2019-10-15","2019-10-15","00","14526.76","Poliza"
"04","3190199171","000000","2019-10-15","2019-10-15","00","14195.13","Poliza"
"04","3190199170","000000","2019-10-15","2019-10-15","00","14195.13","Poliza"
"04","3190191683","109017","2019-10-16","2019-09-06","00","5434.08","Rehabilitacion"
"04","3190199519","000000","2019-10-16","2019-10-16","00","19994.20","Poliza"
"04","3190199490","000000","2019-10-16","2019-10-16","00","14359.78","Poliza"
"04","3190199477","000000","2019-10-16","2019-10-16","00","18839.29","Poliza"
"04","0003600328","000000","2019-10-16","2019-10-15","00","14402.99","Poliza"
"04","3190199265","122630","2019-10-16","2019-10-15","00","75.82","Rehabilitacion"
"04","3190199276","317455","2019-10-16","2019-10-15","00","0.00","Sin Prima"
"04","3190199682","000000","2019-10-17","2019-10-17","00","12503.12","Poliza"
"04","3190199612","000000","2019-10-17","2019-10-17","00","4694.35","Poliza"
"04","3190199596","000000","2019-10-17","2019-10-17","00","4434.84","Poliza"
"04","3190195426","273577","2019-10-19","2019-09-23","00","-12638.15","Anulacion"
"04","3190195429","273576","2019-10-19","2019-09-23","00","-10431.50","Anulacion"
"04","3190199894","000000","2019-10-19","2019-10-19","00","25055.92","Poliza"
